KPI_1,KPI_4,KPI_5,KPI_6,KPI_9,KPI_10,KPI_11,KPI_12,KPI_15,KPI_16
0.241,19203811.879,989544.623,17397.846,21068.000,0.000,0.000,18.000,19203.812,989.545
0.506,31683055.172,2145869.678,16687.581,21039.000,0.000,0.000,46.000,31683.055,2145.870
0.180,11655451.052,505850.029,11084.432,17681.000,0.000,0.000,17.000,11655.451,505.850
0.425,45319376.226,2463359.529,34250.607,37574.000,0.000,0.000,39.000,45319.376,2463.360
0.016,540387.844,54294.159,10303.258,2117.000,0.000,0.000,8.000,540.388,54.294
0.061,4438252.677,134609.967,28131.737,16707.000,0.000,0.000,9.000,4438.253,134.610
0.594,51552192.639,2748104.459,21170.873,22916.000,0.000,0.000,39.000,51552.193,2748.104
0.241,15298836.576,4498868.523,12414.379,23410.000,0.000,0.000,19.000,15298.837,4498.869
0.227,18230994.888,691779.222,17384.463,16705.000,0.000,0.000,19.000,18230.995,691.779
0.023,971482.962,196180.486,11272.016,25236.000,0.000,0.000,18.000,971.483,196.180
0.196,25774062.361,913593.926,16757.177,21041.000,0.000,0.000,14.000,25774.062,913.594
0.045,2499692.417,264036.831,13963.231,23594.000,0.000,0.000,16.000,2499.692,264.037
0.001,18999.347,4371.564,2263.646,1829.000,0.000,0.000,3.000,18.999,4.372
0.017,736422.549,158730.858,13291.236,28637.000,0.000,0.000,10.000,736.423,158.731
0.040,2537784.891,375865.918,13511.703,31838.000,0.000,0.000,17.000,2537.785,375.866
0.027,1709204.456,197448.407,12254.130,20837.000,0.000,0.000,10.000,1709.204,197.448
0.053,5144854.916,464572.623,16730.698,20753.000,0.000,0.000,11.000,5144.855,464.573
0.114,8166735.795,693967.617,14503.368,26182.000,0.000,0.000,22.000,8166.736,693.968
0.445,23949719.323,2269734.484,9934.905,20790.000,0.000,0.000,42.000,23949.719,2269.734
0.427,28616408.567,2774580.088,15460.746,21627.000,0.000,0.000,43.000,28616.409,2774.580
0.915,28941351.646,3265930.097,9669.803,20464.000,0.000,0.000,63.000,28941.352,3265.930
0.707,53730006.005,2925989.833,19000.628,27131.000,0.000,0.000,53.000,53730.006,2925.990
0.130,6044518.642,286081.416,19461.165,20778.000,0.000,0.000,15.000,6044.519,286.081
0.306,29589310.626,1314259.416,21811.445,18523.000,0.000,0.000,25.000,29589.311,1314.259
0.030,5082145.666,527594.983,27274.826,27471.000,0.000,0.000,13.000,5082.146,527.595
0.001,72266.044,4463.382,15674.231,510.000,0.000,0.000,3.000,72.266,4.463
0.100,16524429.597,1092646.508,27795.993,47936.000,0.000,0.000,21.000,16524.430,1092.647
0.241,14295108.728,1352881.642,15459.453,28155.000,0.000,0.000,19.000,14295.109,1352.882
0.076,4639340.543,455582.227,10612.630,17442.000,0.000,0.000,19.000,4639.341,455.582
0.346,34923239.676,2470592.798,22957.380,17037.000,0.000,0.000,28.000,34923.240,2470.593
0.151,13326698.110,1038591.965,12895.408,16997.000,0.000,0.000,18.000,13326.698,1038.592
0.399,31467216.361,1811012.699,13449.568,20543.000,0.000,0.000,26.000,31467.216,1811.013
0.462,33429184.354,2113113.307,13782.670,20221.000,0.000,0.000,36.000,33429.184,2113.113
0.024,3874997.846,367394.443,11923.478,34234.000,0.000,0.000,10.000,3874.998,367.394
0.058,8482730.048,781390.496,18779.021,45767.000,0.000,0.000,17.000,8482.730,781.390
0.021,3502921.542,267179.535,7512.525,27666.000,0.000,0.000,11.000,3502.922,267.180
0.272,21657140.157,2304875.696,12350.494,21021.000,0.000,0.000,21.000,21657.140,2304.876
0.304,24238871.406,21692758.986,11774.222,28623.000,0.000,0.000,19.000,24238.871,21692.759
0.163,17471276.689,944186.537,16775.482,24390.000,0.000,0.000,20.000,17471.277,944.187
0.590,44884988.662,6312961.131,14228.690,27333.000,0.000,0.000,34.000,44884.989,6312.961
0.442,28974515.083,2325940.465,14005.915,20754.000,0.000,0.000,33.000,28974.515,2325.940
0.683,38971305.127,1706577.652,12481.163,20749.000,0.000,0.000,31.000,38971.305,1706.578
0.194,14494636.330,915814.192,17029.403,20780.000,0.000,0.000,19.000,14494.636,915.814
0.199,19907609.070,820337.951,20368.138,19888.000,0.000,0.000,21.000,19907.609,820.338
