DATE,ID_0048TE-ID_0048T11#KPI_1,ID_1574AE-ID_1574A11#KPI_1,ID_1574AE-ID_1574A11#KPI_10,ID_0048TE-ID_0048T11#KPI_12,ID_1574AE-ID_1574A11#KPI_12,ID_0048TE-ID_0048T11#KPI_15,ID_1574AE-ID_1574A11#KPI_15,ID_0048TE-ID_0048T11#KPI_4,ID_1574AE-ID_1574A11#KPI_4
04-03-2019,0.221,0.293,0,17,20,72167.808,25412.677,72167807.77,25412677.46
05-03-2019,0.255,0.185,0,20,21,60465.892,21955.068,60465892.47,21955067.61
06-03-2019,0.284,0.27,0,20,21,59550.837,32743.356,59550837.29,32743355.69
07-03-2019,0.259,0.237,0,18,25,47304.55,36383.123,47304549.95,36383123.02
08-03-2019,0.28,0.242,0,20,19,57145.695,38441.28,57145695.03,38441280.04
09-03-2019,0.366,0.134,0,17,19,59786.445,14300.08,59786445.34,14300080.21
10-03-2019,0.229,0.177,0,19,18,66739.918,22565.595,66739918.39,22565595.39
11-03-2019,0.318,0.278,0,17,21,80098.259,20614.326,80098259.4,20614325.69
12-03-2019,0.19,0.227,0,21,22,40697.336,22221.335,40697336.29,22221334.85
13-03-2019,0.286,0.262,0,22,22,38135.881,24860.991,38135881.32,24860991.01
14-03-2019,0.246,0.183,0,20,19,9168.807,18774.409,9168807.462,18774409.46
15-03-2019,0.293,0.18,0,21,20,52409.538,24524.225,52409537.62,24524225.28
16-03-2019,0.255,0.194,0,21,21,80762.244,26472.186,80762244.45,26472185.64
17-03-2019,0.313,0.2,0,19,22,87694.299,29476.26,87694298.77,29476259.57
18-03-2019,0.304,0.272,0,17,25,80856.927,23829.775,80856927.24,23829775.34
19-03-2019,0.312,0.282,0,20,21,108990.277,34023.791,108990277.1,34023791.02
20-03-2019,0.363,0.186,0,21,19,111163.292,20108.053,111163291.8,20108053.36
21-03-2019,0.38,0.291,0,19,23,111267.398,40303.512,111267397.8,40303512.26
22-03-2019,0.224,0.3,0,18,26,26770.987,37843.312,26770987.16,37843311.7
23-03-2019,0.33,0.332,0,24,29,66390.425,62931.228,66390424.78,62931228.2
24-03-2019,0.268,0.325,0,24,28,59858.072,50538.902,59858072.34,50538901.54
25-03-2019,0.304,0.293,0,20,25,65152.154,41700.751,65152154.5,41700750.77
26-03-2019,0.346,0.307,0,26,27,54975.589,33477.458,54975588.79,33477458.23
27-03-2019,0.347,0.312,0,19,21,76512.727,49336.694,76512727.05,49336694.39
28-03-2019,0.281,0.353,0,19,23,66151.811,53034.696,66151810.61,53034696.27
29-03-2019,0.362,0.27,0,21,31,83778.602,45794.269,83778601.99,45794269.23
30-03-2019,0.433,0.38,0,26,27,83448.276,101784.918,83448275.55,101784917.6
31-03-2019,0.287,0.419,0,23,27,52301.065,113599.092,52301064.79,113599091.7
01-04-2019,0.31,0.352,0,21,28,45660.876,57384.182,45660876.48,57384181.66
02-04-2019,0.374,0.276,0,29,29,57155.619,28874.754,57155619.03,28874754.01
03-04-2019,0.398,0.34,0,22,23,92598.098,45264.516,92598098.14,45264516.27
04-04-2019,0.413,0.364,0,23,26,85751.398,46492.652,85751398.38,46492652.06
05-04-2019,0.453,0.338,0,23,28,93395.783,54978.437,93395783.16,54978437.29
06-04-2019,0.449,0.29,0,25,27,103966.713,53462.073,103966712.8,53462073.37
07-04-2019,0.365,0.265,0,24,27,75963.454,31561.396,75963453.58,31561396.01
08-04-2019,0.344,0.228,0,23,26,60887.831,23180.085,60887830.83,23180085.16
09-04-2019,0.359,0.413,0,24,28,74970.843,36158.746,74970843.04,36158746.17
10-04-2019,0.383,0.387,0,25,30,86029.324,54409.566,86029323.78,54409565.78
11-04-2019,0.307,0.367,0,21,27,67072.343,28012.474,67072342.86,28012473.53
12-04-2019,0.311,0.285,0,21,26,64396.697,34616.557,64396697.4,34616556.66
13-04-2019,0.457,0.437,0,28,35,112867.056,103493.06,112867055.7,103493060
14-04-2019,0.305,0.546,0,24,45,71475,189526.881,71474999.67,189526880.5
15-04-2019,0.372,0.618,0,24,47,82328.965,93633.738,82328965.41,93633738.03
16-04-2019,0.398,0.709,0,31,54,60259.17,111422.274,60259170.36,111422274.1
17-04-2019,0.449,0.889,0,25,58,96120.689,157496.705,96120688.79,157496705.4
18-04-2019,0.47,0.91,0,28,64,114079.564,156873.881,114079564.3,156873881.3
19-04-2019,0.424,0.86,0,31,69,83547.406,124025.416,83547406.14,124025416.3
20-04-2019,0.468,0.859,0,40,60,102980.409,150350.111,102980408.8,150350110.7
